universidad,curso_academico,poblacion,count,Total,porcentaje,total_todos,porcentaje_todos
uam,2017-18,Densa,4496,10351101,0.04343499305049772,10984725,0.04092956355302477
uam,2017-18,Moderadamente densa,6140,8423566,0.07289074484606638,11473726,0.053513566560679585
uam,2017-18,Muy densa,12274,7514972,0.16332728851152073,7514972,0.16332728851152073
uam,2017-18,Muy poco densa,1042,856372,0.12167609403390116,5745500,0.018135932468888696
uam,2017-18,Poco densa,3086,4964012,0.06216745648479496,10853209,0.02843398666698485
uam,2018-19,Densa,4620,10393859,0.04444932339374625,11126817,0.041521308384958606
uam,2018-19,Moderadamente densa,6238,8906852,0.07003596781444218,11529380,0.05410525110630407
uam,2018-19,Muy densa,12209,7561707,0.16145825274637063,7561707,0.16145825274637063
uam,2018-19,Muy poco densa,1097,923739,0.11875648857523609,5710686,0.019209601088205516
uam,2018-19,Poco densa,3173,5099140,0.0622261793165122,10794390,0.029394898646426523
uam,2019-20,Densa,4697,10583925,0.044378621352664537,11196460,0.041950759436464743
uam,2019-20,Moderadamente densa,6388,9123098,0.07002007432124482,11694079,0.054625935056535874
uam,2019-20,Muy densa,12164,7635419,0.15931018323945287,7635419,0.15931018323945287
uam,2019-20,Muy poco densa,1165,936278,0.1244288555322244,5699628,0.020439930465637406
uam,2019-20,Poco densa,3149,5162850,0.060993443543779106,10800622,0.029155728253428367
uam,2020-21,Densa,4701,10807587,0.043497220980039296,11288818,0.04164297803366127
uam,2020-21,Moderadamente densa,6683,9398017,0.07111074602227258,11896408,0.056176620707695975
uam,2020-21,Muy densa,12378,7750859,0.1596984282645317,7750859,0.1596984282645317
uam,2020-21,Muy poco densa,1147,915121,0.12533861642340194,5690617,0.020155986600398516
uam,2020-21,Poco densa,3160,5146191,0.061404638887285756,10824093,0.0291941320164193
uam,2021-22,Densa,4722,10950969,0.04311947189330917,11216339,0.042099298175634674
uam,2021-22,Moderadamente densa,6722,9540416,0.07045814354426473,11921999,0.056383161917728734
uam,2021-22,Muy densa,12190,7668824,0.15895527136885657,7668824,0.15895527136885657
uam,2021-22,Muy poco densa,1144,891016,0.12839275613456996,5687092,0.020115728741507962
uam,2021-22,Poco densa,3260,5272640,0.061828609576986104,10890853,0.029933376201111153
uam,2022-23,Densa,4668,11192132,0.04170787120809512,11298873,0.041313854930487316
uam,2022-23,Moderadamente densa,6801,9412515,0.07225486493248616,11956985,0.05687888711075576
uam,2022-23,Muy densa,12177,7643551,0.15931077060910565,7643551,0.15931077060910565
uam,2022-23,Muy poco densa,1153,895911,0.1286958191159613,5702428,0.02021945739604253
uam,2022-23,Poco densa,3314,5552928,0.059680226359859166,10873583,0.030477534406092268
uc3m,2017-18,Densa,5568,9847940,0.05653974333718524,10984725,0.05068856980943992
uc3m,2017-18,Moderadamente densa,6346,8431532,0.07526508824256374,11473726,0.055308972865484154
uc3m,2017-18,Muy densa,6887,7514972,0.0916437213605054,7514972,0.0916437213605054
uc3m,2017-18,Muy poco densa,1065,872528,0.12205912016577118,5745500,0.018536245757549384
uc3m,2017-18,Poco densa,2872,5119932,0.056094495005011784,10853209,0.026462219607122646
uc3m,2018-19,Densa,5802,10083229,0.05754109125162188,11126817,0.05214429247825321
uc3m,2018-19,Moderadamente densa,6645,8596596,0.07729803750228578,11529380,0.05763536287293852
uc3m,2018-19,Muy densa,7130,7561707,0.09429087903035652,7561707,0.09429087903035652
uc3m,2018-19,Muy poco densa,1028,841432,0.12217267705530571,5710686,0.018001339944097784
uc3m,2018-19,Poco densa,2979,5261657,0.056617145511385476,10794390,0.02759766878906543
uc3m,2019-20,Densa,6010,10362620,0.057996915837886555,11196460,0.05367768026679861
uc3m,2019-20,Moderadamente densa,6885,8560281,0.08042960271981725,11694079,0.05887594910210543
uc3m,2019-20,Muy densa,7299,7635419,0.09559396805859639,7635419,0.09559396805859639
uc3m,2019-20,Muy poco densa,1038,867619,0.1196377672688127,5699628,0.018211714869812556
uc3m,2019-20,Poco densa,2960,5280334,0.05605706002688466,10800622,0.027405829034661155
uc3m,2020-21,Densa,6126,10607433,0.05775195563337521,11288818,0.054266088796896185
uc3m,2020-21,Moderadamente densa,7086,8884563,0.07975631440736027,11896408,0.05956419786543972
uc3m,2020-21,Muy densa,7284,7750859,0.09397668052018493,7750859,0.09397668052018493
uc3m,2020-21,Muy poco densa,1032,867800,0.11892141046324037,5690617,0.01813511610428184
uc3m,2020-21,Poco densa,3018,5457027,0.05530483906346807,10824093,0.027882243805554884
uc3m,2021-22,Densa,6103,10537928,0.057914610917819895,11216339,0.054411693512473186
uc3m,2021-22,Moderadamente densa,7032,9573447,0.07345316686873599,11921999,0.05898339699575549
uc3m,2021-22,Muy densa,6957,7668824,0.09071795101830477,7668824,0.09071795101830477
uc3m,2021-22,Muy poco densa,1013,876749,0.11554047965837429,5687092,0.017812266796457664
uc3m,2021-22,Poco densa,3031,5643072,0.05371187891985075,10890853,0.027830694253241688
uc3m,2022-23,Densa,6219,10845268,0.05734298128916686,11298873,0.05504088770623407
uc3m,2022-23,Moderadamente densa,7106,9645603,0.07367087366129416,11956985,0.05942969736936193
uc3m,2022-23,Muy densa,7024,7643551,0.09189446109537308,7643551,0.09189446109537308
uc3m,2022-23,Muy poco densa,993,869323,0.11422681788012051,5702428,0.017413635034059176
uc3m,2022-23,Poco densa,2961,5779209,0.05123538532695391,10873583,0.02723113439240773
ucm,2017-18,Densa,10246,10984725,0.0932749795739083,10984725,0.0932749795739083
ucm,2017-18,Moderadamente densa,14703,10274836,0.14309717449504789,11473726,0.12814494611427882
ucm,2017-18,Muy densa,25527,7514972,0.339681904337102,7514972,0.339681904337102
ucm,2017-18,Muy poco densa,4188,1898290,0.2206196102808317,5745500,0.07289182838743365
ucm,2017-18,Poco densa,8549,7872840,0.10858851443697572,10853209,0.0787693298820653
ucm,2018-19,Densa,10693,10999829,0.09721060209208707,11126817,0.09610115812994857
ucm,2018-19,Moderadamente densa,15110,10424475,0.14494734746833773,11529380,0.1310564835229648
ucm,2018-19,Muy densa,25971,7561707,0.3434541962548932,7561707,0.3434541962548932
ucm,2018-19,Muy poco densa,4048,1978835,0.20456480707082703,5710686,0.07088465378765353
ucm,2018-19,Poco densa,8807,7980265,0.11035974369272199,10794390,0.08158867708133577
ucm,2019-20,Densa,10910,11077245,0.09849019318431612,11196460,0.09744151276385572
ucm,2019-20,Moderadamente densa,15386,10650339,0.14446488510835193,11694079,0.13157085735439278
ucm,2019-20,Muy densa,25793,7635419,0.3378072637533055,7635419,0.3378072637533055
ucm,2019-20,Muy poco densa,3909,1996304,0.1958118603178674,5699628,0.0685834233392074
ucm,2019-20,Poco densa,8686,7930980,0.10951988278876001,10800622,0.08042129425509012
ucm,2020-21,Densa,11072,11288818,0.0980793560494996,11288818,0.0980793560494996
ucm,2020-21,Moderadamente densa,15731,10799140,0.14566900697648147,11896408,0.13223319173316853
ucm,2020-21,Muy densa,25793,7750859,0.3327760187612754,7750859,0.3327760187612754
ucm,2020-21,Muy poco densa,3792,1922454,0.19724789253735073,5690617,0.0666360080110821
ucm,2020-21,Poco densa,8621,7955560,0.10836446460085777,10824093,0.07964639623846544
ucm,2021-22,Densa,10980,11216339,0.09789290427117084,11216339,0.09789290427117084
ucm,2021-22,Moderadamente densa,15179,10832375,0.14012624193678672,11921999,0.12731925241731692
ucm,2021-22,Muy densa,24604,7668824,0.32083145994744433,7668824,0.32083145994744433
ucm,2021-22,Muy poco densa,3600,1835708,0.19610962092010276,5687092,0.06330124429145863
ucm,2021-22,Poco densa,8184,7888683,0.10374355263102852,10890853,0.07514562908892444
ucm,2022-23,Densa,10791,11298873,0.09550510037594015,11298873,0.09550510037594015
ucm,2022-23,Moderadamente densa,14687,11074743,0.13261707291988628,11956985,0.12283196809229081
ucm,2022-23,Muy densa,23814,7643551,0.31155676203377203,7643551,0.31155676203377203
ucm,2022-23,Muy poco densa,3340,1782350,0.18739304850338037,5702428,0.05857154180640247
ucm,2022-23,Poco densa,7940,7631936,0.10403651183657724,10873583,0.07302100880638884
urjc,2017-18,Densa,11681,10642170,0.10976144902778287,10984725,0.10633857470259839
urjc,2017-18,Moderadamente densa,8694,9975554,0.08715305435668033,11473726,0.07577311851442156
urjc,2017-18,Muy densa,13922,7514972,0.1852568446030138,7514972,0.1852568446030138
urjc,2017-18,Muy poco densa,2958,1513111,0.19549127592093374,5745500,0.05148376990688364
urjc,2017-18,Poco densa,4665,6592280,0.07076459130983515,10853209,0.042982679132042886
urjc,2018-19,Densa,11886,11126817,0.10682300248130261,11126817,0.10682300248130261
urjc,2018-19,Moderadamente densa,9339,9956962,0.09379366919347487,11529380,0.08100175378034205
urjc,2018-19,Muy densa,14246,7561707,0.18839661467972774,7561707,0.18839661467972774
urjc,2018-19,Muy poco densa,3160,1638530,0.19285579147162396,5710686,0.05533485819391926
urjc,2018-19,Poco densa,5146,6978087,0.0737451396063133,10794390,0.047672911577217425
urjc,2019-20,Densa,12604,11196460,0.11257129485569546,11196460,0.11257129485569546
urjc,2019-20,Moderadamente densa,10600,10211454,0.1038050017166997,11694079,0.09064416274252979
urjc,2019-20,Muy densa,15278,7635419,0.20009379969848415,7635419,0.20009379969848415
urjc,2019-20,Muy poco densa,3133,1646941,0.19023146548662034,5699628,0.05496849969857682
urjc,2019-20,Poco densa,5604,7060140,0.07937519652584793,10800622,0.051885900645351715
urjc,2020-21,Densa,11441,11288818,0.10134807736292674,11288818,0.10134807736292674
urjc,2020-21,Moderadamente densa,10074,10556925,0.09542551453193046,11896408,0.08468102304493928
urjc,2020-21,Muy densa,13726,7750859,0.17709004898682842,7750859,0.17709004898682842
urjc,2020-21,Muy poco densa,2836,1601320,0.17710388929133464,5690617,0.04983642371292954
urjc,2020-21,Poco densa,5041,7018069,0.0718288748657216,10824093,0.04657203148568661
urjc,2021-22,Densa,11625,11216339,0.10364344372972321,11216339,0.10364344372972321
urjc,2021-22,Moderadamente densa,9884,11068290,0.0893001538629725,11921999,0.08290555971360171
urjc,2021-22,Muy densa,13361,7668824,0.1742248876750855,7668824,0.1742248876750855
urjc,2021-22,Muy poco densa,2596,1645922,0.1577231484845576,5687092,0.04564723060572961
urjc,2021-22,Poco densa,5418,7397530,0.07324066276175967,10890853,0.04974816940417798
urjc,2022-23,Densa,11588,11298873,0.10255890122846764,11298873,0.10255890122846764
urjc,2022-23,Moderadamente densa,9730,10991879,0.08851989728052866,11956985,0.08137502890569821
urjc,2022-23,Muy densa,12928,7643551,0.1691360468452425,7643551,0.1691360468452425
urjc,2022-23,Muy poco densa,2506,1622489,0.15445405176860982,5702428,0.043946192744564246
urjc,2022-23,Poco densa,5278,7510303,0.07027679176193025,10873583,0.048539657994977364
uva,2017-18,Densa,8348,9989247,0.08356986267333263,10984725,0.07599644051171058
uva,2017-18,Moderadamente densa,4739,8068810,0.05873232855898205,11473726,0.041303060575091304
uva,2017-18,Muy densa,297,7514972,0.0039521105334790335,7514972,0.0039521105334790335
uva,2017-18,Muy poco densa,3730,1114211,0.3347660362355066,5745500,0.0649203724654077
uva,2017-18,Poco densa,3928,4357171,0.09015023739026996,10853209,0.03619206079971371
uva,2018-19,Densa,8230,10478255,0.07854361246218955,11126817,0.07396544762082453
uva,2018-19,Moderadamente densa,4654,7930704,0.05868331487343369,11529380,0.04036643774426725
uva,2018-19,Muy densa,277,7561707,0.0036631940380657435,7561707,0.0036631940380657435
uva,2018-19,Muy poco densa,3674,1143355,0.3213350184325953,5710686,0.06433552816596816
uva,2018-19,Poco densa,4099,4361786,0.09397526609512709,10794390,0.03797342879032534
uva,2019-20,Densa,8155,9940985,0.08203412438505842,11196460,0.07283552122724503
uva,2019-20,Moderadamente densa,4483,8269046,0.054214234628758864,11694079,0.03833563977120387
uva,2019-20,Muy densa,314,7635419,0.004112413477243358,7635419,0.004112413477243358
uva,2019-20,Muy poco densa,3552,1129468,0.31448434130050607,5699628,0.06231985666432967
uva,2019-20,Poco densa,4257,4364605,0.09753459935091492,10800622,0.03941439668937585
uva,2020-21,Densa,8121,9979245,0.08137890191091611,11288818,0.07193844386542506
uva,2020-21,Moderadamente densa,4303,7907420,0.05441724355099388,11896408,0.03617058191010261
uva,2020-21,Muy densa,344,7750859,0.0044382177510905564,7750859,0.0044382177510905564
uva,2020-21,Muy poco densa,3685,1177919,0.3128398472220925,5690617,0.06475571981034746
uva,2020-21,Poco densa,4487,4288800,0.10462133930236896,10824093,0.04145381973344094
uva,2021-22,Densa,8173,10010764,0.08164212042157822,11216339,0.07286691317015294
uva,2021-22,Moderadamente densa,4362,8266531,0.05276699500673257,11921999,0.036587823904363694
uva,2021-22,Muy densa,327,7668824,0.004264017533848736,7668824,0.004264017533848736
uva,2021-22,Muy poco densa,3764,1173225,0.32082507617890854,5687092,0.06618496764251396
uva,2021-22,Poco densa,4656,4427948,0.10515028631772551,10890853,0.04275147226759925
uva,2022-23,Densa,8025,10720830,0.07485427900638289,11298873,0.07102478273718095
uva,2022-23,Moderadamente densa,4187,8161846,0.051299669216988406,11956985,0.03501718869765246
uva,2022-23,Muy densa,356,7643551,0.00465752109196367,7643551,0.00465752109196367
uva,2022-23,Muy poco densa,3729,1179709,0.31609490136974455,5702428,0.0653931974239745
uva,2022-23,Poco densa,4782,4416315,0.1082803196782838,10873583,0.0439781440947294
Global,2017-18,Densa,40339,51815183,0.07785169841048327,10984725,0.36722812815068195
Global,2017-18,Moderadamente densa,40622,45174298,0.08992281407449873,11473726,0.35404366462995546
Global,2017-18,Muy densa,58907,37574860,0.15677237386912418,7514972,0.783861869345621
Global,2017-18,Muy poco densa,12983,6254512,0.20757814518542772,5745500,0.22596814898616308
Global,2017-18,Poco densa,23100,28906235,0.07991355498216908,10853209,0.21284027608792938
Global,2018-19,Densa,41231,53081989,0.0776741805963601,11126817,0.37055520909528755
Global,2018-19,Moderadamente densa,41986,45815589,0.09164129702665177,11529380,0.36416528902681666
Global,2018-19,Muy densa,59833,37808535,0.15825262734988277,7561707,0.791263136749414
Global,2018-19,Muy poco densa,13007,6525891,0.1993137795283433,5710686,0.22776598117984423
Global,2018-19,Poco densa,24204,29680935,0.08154729626947399,10794390,0.2242275848843705
Global,2019-20,Densa,42376,53161235,0.07971221887527631,11196460,0.3784767685500596
Global,2019-20,Moderadamente densa,43742,46814218,0.09343742535654445,11694079,0.37405254402676774
Global,2019-20,Muy densa,60848,38177095,0.15938352564541644,7635419,0.7969176282270822
Global,2019-20,Muy poco densa,12797,6576610,0.19458353163712006,5699628,0.22452342503756387
Global,2019-20,Poco densa,24656,29798909,0.08274128425305773,10800622,0.22828314887790724
Global,2020-21,Densa,41461,53971901,0.07681960285223231,11288818,0.3672749441084089
Global,2020-21,Moderadamente densa,43877,47546065,0.09228313636470231,11896408,0.3688256152613461
Global,2020-21,Muy densa,59525,38754295,0.1535958788567822,7750859,0.7679793942839109
Global,2020-21,Muy poco densa,12492,6484614,0.19264061052824424,5690617,0.21951925423903945
Global,2020-21,Poco densa,24327,29865647,0.08145478984600601,10824093,0.22474862327956716
Global,2021-22,Densa,41603,53932339,0.07713924664012811,11216339,0.37091425285915486
Global,2021-22,Moderadamente densa,43179,49281059,0.08761784116692785,11921999,0.36217919494876655
Global,2021-22,Muy densa,57439,38344120,0.149798717508708,7668824,0.74899358754354
Global,2021-22,Muy poco densa,12117,6422620,0.1886613251289972,5687092,0.21306143807766784
Global,2021-22,Poco densa,24549,30629873,0.08014724710089395,10890853,0.22540934121505452
Global,2022-23,Densa,41291,55355976,0.07459176584656371,11298873,0.3654435269783101
Global,2022-23,Moderadamente densa,42511,49286586,0.08625267735119653,11956985,0.3555327701757592
Global,2022-23,Muy densa,56299,38217755,0.14731111233509137,7643551,0.7365555616754569
Global,2022-23,Muy poco densa,11721,6349782,0.1845890142370242,5702428,0.2055440244050429
Global,2022-23,Poco densa,24275,30890691,0.07858354479671563,10873583,0.22324747969459563
